id_notificacao;data_hora;data;ano_mes;id_fazenda;id_talhao;tipo_notificacao;prioridade;titulo;mensagem;recomendacao;lida;status_notificacao
NOTIF_011;2025-04-15 10:15;2025-04-15;2025-04;FZ005;TALHAO_40;Clima e solo;Alta;Risco climático no Talhão 40;Déficit hídrico estimado em 113,0 mm e umidade do solo em 15,1%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_012;2025-04-22 16:40;2025-04-22;2025-04;FZ001;TALHAO_03;Vigor e uniformidade;Média;Talhão 03 em atenção;Uniformidade em 55,3% e score 62,4.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_013;2025-05-08 08:30;2025-05-08;2025-05;FZ002;TALHAO_20;Saúde da lavoura;Alta;Talhão 20 entrou em status crítico;Score de saúde do talhão ficou em 38,1 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_014;2025-05-15 10:15;2025-05-15;2025-05;FZ001;TALHAO_02;Clima e solo;Alta;Risco climático no Talhão 02;Déficit hídrico estimado em 115,7 mm e umidade do solo em 13,6%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_015;2025-05-22 16:40;2025-05-22;2025-05;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 85,4% e score 76,7.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_016;2025-06-08 08:30;2025-06-08;2025-06;FZ003;TALHAO_25;Saúde da lavoura;Alta;Talhão 25 entrou em status crítico;Score de saúde do talhão ficou em 40,6 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_017;2025-06-15 10:15;2025-06-15;2025-06;FZ001;TALHAO_07;Clima e solo;Alta;Risco climático no Talhão 07;Déficit hídrico estimado em 140,2 mm e umidade do solo em 12%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_018;2025-06-22 16:40;2025-06-22;2025-06;FZ001;TALHAO_03;Vigor e uniformidade;Média;Talhão 03 em atenção;Uniformidade em 68,7% e score 69,7.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_019;2025-07-08 08:30;2025-07-08;2025-07;FZ003;TALHAO_28;Saúde da lavoura;Alta;Talhão 28 entrou em status crítico;Score de saúde do talhão ficou em 38,2 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_020;2025-07-15 10:15;2025-07-15;2025-07;FZ002;TALHAO_22;Clima e solo;Alta;Risco climático no Talhão 22;Déficit hídrico estimado em 132,6 mm e umidade do solo em 12%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_021;2025-07-22 16:40;2025-07-22;2025-07;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 74,0% e score 74,2.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_022;2025-08-08 08:30;2025-08-08;2025-08;FZ001;TALHAO_10;Saúde da lavoura;Alta;Talhão 10 entrou em status crítico;Score de saúde do talhão ficou em 45,2 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_023;2025-08-15 10:15;2025-08-15;2025-08;FZ005;TALHAO_40;Clima e solo;Alta;Risco climático no Talhão 40;Déficit hídrico estimado em 140,4 mm e umidade do solo em 12%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_024;2025-08-22 16:40;2025-08-22;2025-08;FZ001;TALHAO_03;Vigor e uniformidade;Média;Talhão 03 em atenção;Uniformidade em 51,5% e score 62,0.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_025;2025-09-08 08:30;2025-09-08;2025-09;FZ004;TALHAO_30;Saúde da lavoura;Alta;Talhão 30 entrou em status crítico;Score de saúde do talhão ficou em 43,9 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_026;2025-09-15 10:15;2025-09-15;2025-09;FZ001;TALHAO_02;Clima e solo;Alta;Risco climático no Talhão 02;Déficit hídrico estimado em 116,8 mm e umidade do solo em 12%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_027;2025-09-22 16:40;2025-09-22;2025-09;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 67,7% e score 77,9.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_028;2025-10-08 08:30;2025-10-08;2025-10;FZ003;TALHAO_25;Saúde da lavoura;Alta;Talhão 25 entrou em status crítico;Score de saúde do talhão ficou em 44,6 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_029;2025-10-15 10:15;2025-10-15;2025-10;FZ005;TALHAO_39;Clima e solo;Alta;Risco climático no Talhão 39;Déficit hídrico estimado em 115,4 mm e umidade do solo em 12%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_030;2025-10-22 16:40;2025-10-22;2025-10;FZ001;TALHAO_03;Vigor e uniformidade;Média;Talhão 03 em atenção;Uniformidade em 57,0% e score 66,0.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_031;2025-11-08 08:30;2025-11-08;2025-11;FZ001;TALHAO_02;Saúde da lavoura;Alta;Talhão 02 entrou em status crítico;Score de saúde do talhão ficou em 39,7 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_032;2025-11-15 10:15;2025-11-15;2025-11;FZ002;TALHAO_20;Clima e solo;Alta;Risco climático no Talhão 20;Déficit hídrico estimado em 108,2 mm e umidade do solo em 32,1%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_033;2025-11-22 16:40;2025-11-22;2025-11;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 58,3% e score 70,5.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_034;2025-12-08 08:30;2025-12-08;2025-12;FZ005;TALHAO_35;Saúde da lavoura;Alta;Talhão 35 entrou em status crítico;Score de saúde do talhão ficou em 40,8 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_035;2025-12-15 10:15;2025-12-15;2025-12;FZ002;TALHAO_21;Clima e solo;Alta;Risco climático no Talhão 21;Déficit hídrico estimado em 83,2 mm e umidade do solo em 26,8%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_036;2025-12-22 16:40;2025-12-22;2025-12;FZ001;TALHAO_03;Vigor e uniformidade;Média;Talhão 03 em atenção;Uniformidade em 77,2% e score 71,2.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_037;2026-01-08 08:30;2026-01-08;2026-01;FZ003;TALHAO_28;Saúde da lavoura;Alta;Talhão 28 entrou em status crítico;Score de saúde do talhão ficou em 42,0 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_038;2026-01-15 10:15;2026-01-15;2026-01;FZ002;TALHAO_20;Clima e solo;Alta;Risco climático no Talhão 20;Déficit hídrico estimado em 119,8 mm e umidade do solo em 19,7%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_039;2026-01-22 16:40;2026-01-22;2026-01;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 80,1% e score 78,7.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_040;2026-02-08 08:30;2026-02-08;2026-02;FZ003;TALHAO_25;Saúde da lavoura;Alta;Talhão 25 entrou em status crítico;Score de saúde do talhão ficou em 38,3 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_041;2026-02-15 10:15;2026-02-15;2026-02;FZ001;TALHAO_10;Clima e solo;Alta;Risco climático no Talhão 10;Déficit hídrico estimado em 96,1 mm e umidade do solo em 34,0%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_042;2026-02-22 16:40;2026-02-22;2026-02;FZ001;TALHAO_03;Vigor e uniformidade;Média;Talhão 03 em atenção;Uniformidade em 82,9% e score 77,8.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_043;2026-03-08 08:30;2026-03-08;2026-03;FZ001;TALHAO_02;Saúde da lavoura;Alta;Talhão 02 entrou em status crítico;Score de saúde do talhão ficou em 40,0 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Sim;Monitorando
NOTIF_044;2026-03-15 10:15;2026-03-15;2026-03;FZ002;TALHAO_22;Clima e solo;Alta;Risco climático no Talhão 22;Déficit hídrico estimado em 116,4 mm e umidade do solo em 24,0%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Sim;Resolvida
NOTIF_045;2026-03-22 16:40;2026-03-22;2026-03;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 66,3% e score 74,3.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_046;2026-04-08 08:30;2026-04-08;2026-04;FZ001;TALHAO_10;Saúde da lavoura;Alta;Talhão 10 entrou em status crítico;Score de saúde do talhão ficou em 50,0 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Não;Aberta
NOTIF_047;2026-04-15 10:15;2026-04-15;2026-04;FZ005;TALHAO_38;Clima e solo;Alta;Risco climático no Talhão 38;Déficit hídrico estimado em 117,5 mm e umidade do solo em 18,3%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Não;Aberta
NOTIF_048;2026-04-22 16:40;2026-04-22;2026-04;FZ001;TALHAO_03;Vigor e uniformidade;Média;Talhão 03 em atenção;Uniformidade em 71,6% e score 78,4.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Sim;Monitorando
NOTIF_049;2026-05-08 08:30;2026-05-08;2026-05;FZ001;TALHAO_02;Saúde da lavoura;Alta;Talhão 02 entrou em status crítico;Score de saúde do talhão ficou em 44,8 no mês.;Priorizar vistoria em campo e verificar vigor, uniformidade e sinais de estresse.;Não;Aberta
NOTIF_050;2026-05-15 10:15;2026-05-15;2026-05;FZ002;TALHAO_19;Clima e solo;Alta;Risco climático no Talhão 19;Déficit hídrico estimado em 121,7 mm e umidade do solo em 12%.;Acompanhar previsão, avaliar irrigação e revisar janela operacional.;Não;Aberta
NOTIF_051;2026-05-22 16:40;2026-05-22;2026-05;FZ001;TALHAO_04;Vigor e uniformidade;Média;Talhão 04 em atenção;Uniformidade em 69,9% e score 72,2.;Monitorar evolução no próximo mês e comparar com talhões vizinhos.;Não;Monitorando
